workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Male,25,,No,2
1,English,2,Female,30,,Yes,3
2,English,1,Female,36,,Yes,4
3,english,1,Male,23,,Yes,2
4,english,2,Female,23,,Yes,2
5,English,2,Male,23,,Yes,4
6,English,1,Female,25,,Yes,2
7,English,1,Male,23,Decent study HIT.,Yes,1
8,Englsih,2,Female,50,,Yes,3
