date,workerid,amount
Fri Dec 18 12:44:17 PST 2015,A30XQ26LTXNZBC,0.3
Fri Dec 18 12:56:06 PST 2015,A2NI5F4HL84NBD,0.3
Fri Dec 18 21:54:08 PST 2015,A13939DACVACGC,0.3
Fri Dec 18 21:58:02 PST 2015,A1RAGM3PU08KAR,0.3
Fri Dec 18 22:04:36 PST 2015,A3KACB3ERCT0DG,0.3
Fri Dec 18 22:35:28 PST 2015,A32Y2DA2CW8YWN,0.3
Fri Dec 18 22:54:50 PST 2015,A2PYGLCXIXOHBQ,0.3
Fri Dec 18 22:57:10 PST 2015,ARJ6SPCZJVARE,0.3
Fri Dec 18 22:59:49 PST 2015,A3634EWN5B6GL4,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
