"","class","N","response","bootsci_high","bootsci_low"
"1","age",120,0.53475,0.580252083333333,0.489083333333333
"2","color",180,0.200111111111111,0.234833333333333,0.167
"3","material",90,0.175333333333333,0.221333333333333,0.132
"4","quality",60,0.756,0.815670833333333,0.692995833333333
"5","shape",60,0.2485,0.314670833333333,0.187166666666667
"6","size",180,0.589833333333333,0.627723611111111,0.550443055555556
"7","texture",90,0.526,0.578780555555556,0.473777777777778
