"","class1","N","adj_preferred_10","bootsci_high","bootsci_low"
"1","age",74,0.472972972972973,0.581081081081081,0.364864864864865
"2","color",107,0.121495327102804,0.186915887850467,0.0654205607476635
"3","material",58,0,0,0
"4","quality",43,0.627906976744186,0.767441860465116,0.488372093023256
"5","shape",42,0.357142857142857,0.5,0.214285714285714
"6","size",108,0.833333333333333,0.898148148148148,0.759259259259259
"7","texture",63,0.555555555555556,0.682539682539683,0.428571428571429
