,objs,,,,smallEps,brownEps,prob
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.73,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.69,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.65,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.65,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.61,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.61,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.61,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.57,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.57,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.57,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.57,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.53,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.53,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.53,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.53,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.53,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.49,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.41,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.37,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.33,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.29,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.17,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.13,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.09,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.05,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.45,0.01,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.37,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.33,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.29,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.25,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.21,0.004504505
1,"[{""brown"":true",small:true},"{""brown"":true",small:false}],0.41,0.17,0.004504505
