"","class","N","response","bootsci_high","bootsci_low"
"1","quality",80,0.789125,0.854628125,0.71811875
"2","size",240,0.788208333333333,0.821666666666667,0.753540625
"3","age",160,0.57525,0.6295,0.518875
"4","texture",120,0.5875,0.651666666666667,0.521166666666667
"5","color",240,0.263875,0.302876041666667,0.225873958333333
"6","shape",80,0.165,0.219625,0.114871875
"7","material",120,0.1285,0.17241875,0.0866645833333333
