workerid,language,enjoyment,gender,age,comments,asses,education
0,ENGLISH,1,Female,40,,Yes,1
1,ENGLISH,2,Female,48,Thank you.,Yes,2
2,,1,Male,20,,Yes,2
3,English,2,Female,31,,Yes,3
4,English,2,Female,29,,Yes,4
5,English,2,Male,55,interesting HIT,Yes,3
6,English,1,Male,25,,Yes,3
7,english,1,Female,34,,Yes,2
8,English,2,Male,32,Never considered objectivity/subjectivity of adjectives like this. Interesting. Cheers!,Yes,3
