predicate,subsective
old,1
new,1
rotten,1
fresh,1
red,0
yellow,0
green,0
blue,0
purple,0
brown,0
wooden,0
plastic,0
metal,0
good,1
bad,1
round,0
square,0
big,1
small,1
huge,1
tiny,1
short,1
long,1
smooth,1
hard,1
soft,1
