"","Class","N","Distance","bootsci_high","bootsci_low"
"1","age",15379,0.555952922816828,0.563885818323688,0.547955003576305
"2","color",5006,0.127846584099081,0.137235317618857,0.118652616859768
"3","material",1180,0.0559322033898305,0.0694915254237288,0.0432203389830508
"4","quality",3691,0.662693037117312,0.678136006502303,0.647791926307234
"5","shape",216,0.226851851851852,0.282407407407407,0.171296296296296
"6","size",11246,0.67944157922817,0.687977947714743,0.67072736973146
"7","texture",1700,0.469411764705882,0.492941176470588,0.446470588235294
