"","X","class","N","average","YMin","YMax","expt"
"1",1,"age",173,0.62757225433526,0.686134393063584,0.565374277456647,"preference"
"2",2,"color",240,0.226458333333333,0.268876041666667,0.185123958333333,"preference"
"3",3,"material",133,0.121203007518797,0.159853383458647,0.0876691729323308,"preference"
"4",4,"quality",99,0.741212121212121,0.804949494949495,0.672727272727273,"preference"
"5",5,"shape",117,0.434700854700855,0.511196581196581,0.360083333333333,"preference"
"6",6,"size",253,0.843596837944664,0.874666007905138,0.809880434782609,"preference"
"7",7,"texture",155,0.713612903225806,0.770451612903226,0.655608064516129,"preference"
"8",1,"quality",80,0.789125,0.854628125,0.71811875,"faultless"
"9",2,"size",240,0.788208333333333,0.821666666666667,0.753540625,"faultless"
"10",3,"age",160,0.57525,0.6295,0.518875,"faultless"
"11",4,"texture",120,0.5875,0.651666666666667,0.521166666666667,"faultless"
"12",5,"color",240,0.263875,0.302876041666667,0.225873958333333,"faultless"
"13",6,"shape",80,0.165,0.219625,0.114871875,"faultless"
"14",7,"material",120,0.1285,0.17241875,0.0866645833333333,"faultless"
"15",1,"age",15379,0.555952922816828,0.563885818323688,0.547955003576305,"corpus"
"16",2,"color",5006,0.127846584099081,0.137235317618857,0.118652616859768,"corpus"
"17",3,"material",1180,0.0559322033898305,0.0694915254237288,0.0432203389830508,"corpus"
"18",4,"quality",3691,0.662693037117312,0.678136006502303,0.647791926307234,"corpus"
"19",5,"shape",216,0.226851851851852,0.282407407407407,0.171296296296296,"corpus"
"20",6,"size",11246,0.67944157922817,0.687977947714743,0.67072736973146,"corpus"
"21",7,"texture",1700,0.469411764705882,0.492941176470588,0.446470588235294,"corpus"
"22",1,"age",120,0.53475,0.580252083333333,0.489083333333333,"subjectivity"
"23",2,"color",180,0.200111111111111,0.234833333333333,0.167,"subjectivity"
"24",3,"material",90,0.175333333333333,0.221333333333333,0.132,"subjectivity"
"25",4,"quality",60,0.756,0.815670833333333,0.692995833333333,"subjectivity"
"26",5,"shape",60,0.2485,0.314670833333333,0.187166666666667,"subjectivity"
"27",6,"size",180,0.589833333333333,0.627723611111111,0.550443055555556,"subjectivity"
"28",7,"texture",90,0.526,0.578780555555556,0.473777777777778,"subjectivity"
