,,beta
intercept (bad apple),,0.612
fresh,banana,0.41
new,banana,-0.32
red,banana,-0.42
square,banana,0.37
blue,chair,0.32
hard,cheese,-0.8
soft,cheese,-0.27
square,couch,0.42
blue,desk,0.47
rotten,desk,0.36
soft,fan,0.36
soft,tomato,-0.33
old,TV,-0.43
square,TV,0.34
