"","class1","N","response","bootsci_high","bootsci_low"
"1","age",173,0.62757225433526,0.686134393063584,0.565374277456647
"2","color",240,0.226458333333333,0.268876041666667,0.185123958333333
"3","material",133,0.121203007518797,0.159853383458647,0.0876691729323308
"4","quality",99,0.741212121212121,0.804949494949495,0.672727272727273
"5","shape",117,0.434700854700855,0.511196581196581,0.360083333333333
"6","size",253,0.843596837944664,0.874666007905138,0.809880434782609
"7","texture",155,0.713612903225806,0.770451612903226,0.655608064516129
