"","Adjective","DistanceFromNoun","Distance"
"1","bad",1.4748490945674,0.474849094567404
"2","big",1.68847487001733,0.688474870017331
"3","blue",1.11643192488263,0.116431924882629
"4","brown",1.10294117647059,0.102941176470588
"5","fresh",1.60496613995485,0.604966139954853
"6","good",1.73124810203462,0.731248102034619
"7","green",1.15212264150943,0.152122641509434
"8","hard",1.35436893203884,0.354368932038835
"9","huge",1.9706498951782,0.970649895178197
"10","long",1.67923186344239,0.67923186344239
"11","new",1.70663854574671,0.706638545746711
"12","old",1.34944593045472,0.349445930454719
"13","plastic",1.15923566878981,0.159235668789809
"14","purple",1.15686274509804,0.156862745098039
"15","red",1.16479400749064,0.164794007490637
"16","rotten",1.64814814814815,0.648148148148148
"17","round",1.46153846153846,0.461538461538461
"18","short",1.48844221105528,0.488442211055276
"19","small",1.73425659785733,0.734256597857329
"20","smooth",1.52767527675277,0.527675276752767
"21","soft",1.6448,0.6448
"22","square",1.22926829268293,0.229268292682927
"23","tiny",1.85294117647059,0.852941176470588
"24","wooden",1.0458089668616,0.0458089668615984
"25","yellow",1.12523364485981,0.125233644859813
