noun,nounClass
time,abstract
form,concrete
thing,concrete
hair,mass
conversation,abstract
offender,human
school,concrete
benefit,abstract
rate,abstract
club,abstract
type,abstract
burden,abstract
solution,abstract
policy,abstract
service,abstract
topic,abstract
coverage,abstract
term,abstract
recipe,abstract
one,concrete
area,space
tax,abstract
city,space
farm,space
mouth,concrete
list,concrete
phrase,concrete
sauce,concrete
background,abstract
stuff,concrete
color,abstract
music,abstract
way,abstract
place,space
slant,abstract
computer,concrete
word,concrete
typewriter,concrete
code,abstract
conscience,abstract
being,concrete
shot,concrete
style,abstract
report,concrete
problem,abstract
leadership,abstract
sound,concrete
paper,concrete
town,space
goal,abstract
letter,concrete
perspective,abstract
system,abstract
guy,human
world,space
power,abstract
food,mass
feeling,abstract
sense,abstract
shell,concrete
enemy,human
meat,mass
pet,human
death,abstract
coke,concrete
can,concrete
tollway,space
house,concrete
puppy,human
corporation,abstract
suit,concrete
reinforcement,abstract
parent,human
lifestyle,abstract
change,abstract
source,abstract
lab,space
dog,human
trial,abstract
driveway,space
autobiography,concrete
situation,abstract
actor,human
film,concrete
child,human
grandfather,human
grandchild,human
family,human
fish,human
pan,concrete
sand,mass
behavior,abstract
joke,concrete
bin,concrete
value,abstract
hand,concrete
baby,human
casserole,concrete
rib,concrete
vacation,concrete
field,space
opinion,abstract
boat,concrete
plate,concrete
room,space
factor,abstract
book,concrete
satire,abstract
spaghetti,mass
radio,concrete
college,space
day,space
labrador,human
nation,human
boy,human
snake,human
bearing,abstract
banking,abstract
income,abstract
wood,mass
wind,concrete
luck,abstract
look,abstract
lettering,concrete
ride,space
region,space
party,concrete
story,abstract
shrimp,mass
garbage,mass
mall,space
brush,concrete
student,human
truth,abstract
trunk,concrete
level,abstract
ski,concrete
weather,concrete
strip,space
car,concrete
decision,abstract
voice,concrete
crime,concrete
point,abstract
number,abstract
life,human
luxury,abstract
resort,space
environment,space
reason,abstract
line,concrete
trash,mass
money,mass
teller,human
engine,concrete
valley,space
bag,concrete
vitamin,concrete
dough,mass
country,space
plan,abstract
libertarian,human
citizen,human
research,abstract
issue,abstract
spirit,abstract
