workerid,language,enjoyment,gender,age,comments,asses,education
0,English,1,Female,55,,Yes,1
1,English,2,Female,65,Interesting hit. I wonder what it will be used for.,Yes,2
2,English,2,Female,50,Interesting and somewhat difficult experiment,Yes,3
3,english,2,Female,41,Liked it alot.,Yes,2
4,English,2,Male,19,Most of the words used did not make a lot of sense.,Yes,2
5,English,2,Female,51,"I enjoyed it because I love reading,spelling and grammar subjects.",Yes,1
6,English,2,Male,24,,Yes,3
