workerid,language,enjoyment,gender,age,comments,asses,education
0,english,2,Female,32,,Yes,4
1,English,1,Male,34,I hope I did that correctly,Yes,4
2,American English,1,Male,46,,Yes,2
3,English,2,Female,20,,Yes,2
4,english,2,Male,36,none,Yes,3
5,English,2,Male,22,,Yes,2
6,English,1,Female,22,,Yes,2
7,english,1,Female,30,,Yes,3
8,English,1,Male,26,,Yes,3
