workerid,language,enjoyment,gender,age,comments,asses,education
0,English,2,Female,27,,Yes,3
1,english,1,Female,25,,Yes,1
2,English,1,Female,28,The experiment ran smoothly.,Yes,3
3,English,2,Female,32,,Yes,1
4,English,2,Male,20,,Yes,2
5,Englihs,2,Female,25,It was interesting and a lot of fun I would do many more that are like this. ,Yes,3
6,English,2,Male,32,,Yes,4
7,English,2,Female,29,Nothing,Yes,2
8,English,1,Male,39,,Yes,1
