Adjective	Class
biggest	dimension
large	dimension
long	dimension
mini	dimension
narrow	dimension
open	dimension
thick	dimension
thin	dimension
civilized	human
creative	human
entrepreneurial	human
playful	human
professional	human
sad	human
selfish	human
strict	human
brazilian	nationality
english	nationality
european	nationality
hispanic	nationality
international	nationality
japanese	nationality
national	nationality
vietnamese	nationality
creamy	physical
curly	physical
frozen	physical
lacy	physical
smooth	physical
solid	physical
spicy	physical
sweet	physical
best	value
exciting	value
favorite	value
lavish	value
plain	value
pleasant	value
prestigious	value
strange	value
designated	X
different	X
individual	X
last	X
mixed	X
potential	X
token	X
unique	X
junior	age
new	age
old	age
old-time	age
senior	age
young	age
black	color
blonde	color
blue	color
green	color
purple	color
red	color
white	color
yellow	color
closest	location
internal	location
overhead	location
corduroy	material
crocheted	material
gold	material
wooden	material
circular	shape
fast	speed
slow	speed
speedy	speed
current	temporal
daily	temporal
everyday	temporal
historical	temporal
