header,x,class,ignore,
23,moral,value,,
28,favorite,value,,
30,good,value,,
45,fun,value,,
52,prime,value,,
64,inappropriate,value,,
68,popular,value,,
69,prestigious,value,,
86,ugly,value,,
93,ideal,value,,
96,rotten,value,,
100,bad,value,,
118,negative,value,,
133,great,value,,
141,special,value,,
146,normal,value,,
167,elaborate,value,,
172,fancy,value,,
187,genuine,value,,
198,important,value,,
199,pleasant,value,,
236,excellent,value,,
237,wonderful,value,,
240,reasonable,value,,
245,quaint,value,,
251,fantastic,value,,
254,easy,value,,
255,incredible,value,,
263,cute,value,,
286,convenient,value,,
289,strange,value,,
291,lovely,value,,
303,sophisticated,value,,
304,silly,value,,
305,poor,value,,
307,beautiful,value,,
310,acceptable,value,,
312,best,value,,
318,plain,value,,
319,gorgeous,value,,
323,gross,value,,
336,ludicrous,value,,
338,interesting,value,,
350,useful,value,,
7,fast,speed,,
241,speedy,speed,,
287,slow,speed,,
127,circular,shape,,
44,hard,physical,,
60,sweet,physical,,
67,creamy,physical,,
115,salty,physical,,
116,wet,physical,,
126,spiky,physical,,
156,shiny,physical,,
181,comfortable,physical,,
186,raspy,physical,,
201,smooth,physical,,
222,sour,physical,,
223,blunt,physical,,
233,solid,physical,,
264,spicy,physical,,
265,frozen,physical,,
268,light,physical,,
272,lacy,physical,,
274,dried,physical,,
281,dirty,physical,,
293,humid,physical,,
297,curly,physical,,
299,dusty,physical,,
308,quiet,physical,,
343,warm,physical,,
5,brazilian,nationality,,
35,western,nationality,,
47,texan,nationality,,
49,american,nationality,,
54,hispanic,nationality,,
58,argentine,nationality,,
59,chinese,nationality,,
72,victorian,nationality,,
89,english,nationality,,
92,eastern,nationality,,
117,baptist,nationality,,
129,french,nationality,,
130,urban,nationality,,
134,catholic,nationality,,
154,mexican,nationality,,
155,italian,nationality,,
164,vietnamese,nationality,,
175,international,nationality,,
176,national,nationality,,
215,country,nationality,,
219,federal,nationality,,
221,japanese,nationality,,
224,european,nationality,,
277,latin,nationality,,
1,corduroy,material,,
9,facial,material,,
152,wooden,material,,
180,gold,material,,
332,crocheted,material,,
8,creative,human,,
14,sexual,human,,
24,elitist,human,,
26,strict,human,,
51,crazy,human,,
74,social,human,,
145,experienced,human,,
149,violent,human,,
161,nice,human,,
163,selfish,human,,
166,happiest,human,,
174,left-handed,human,,
177,professional,human,,
184,funny,human,,
192,intellectual,human,,
230,entrepreneurial,human,,
270,mad,human,,
283,civilized,human,,
288,sad,human,,
331,playful,human,,
333,cheerful,human,,
4,full,dimension,,
11,lengthy,dimension,,
12,short,dimension,,
16,little,dimension,,
