Adjective	Class	Length	Probability	logProbability
best	value	4	0.000170088162364159	-8.67919365319952
biggest	dimension	7	5.83635851249564e-05	-9.74881840499438
black	color	5	5.66960541213863e-05	-9.77780594186763
blonde	color	6	2.50129650535528e-06	-12.8987013583756
blue	color	4	4.25220405910397e-05	-10.0654880143194
brazilian	nationality	9	8.33765501785092e-07	-13.9973136470437
circular	shape	8	2.50129650535528e-06	-12.8987013583756
civilized	human	9	6.67012401428074e-06	-11.9178721053639
closest	location	7	8.33765501785092e-06	-11.6947285540497
corduroy	material	8	1.66753100357018e-06	-13.3041664664838
creamy	physical	6	8.33765501785092e-07	-13.9973136470437
creative	human	8	1.25064825267764e-05	-11.2892634459415
crocheted	material	9	2.50129650535528e-06	-12.8987013583756
curly	physical	5	8.33765501785092e-07	-13.9973136470437
current	temporal	7	3.75194475803291e-05	-10.1906511572734
daily	temporal	5	1.33402480285615e-05	-11.224724924804
designated	X	10	4.16882750892546e-06	-12.3878757346096
different	X	9	0.000511932018096046	-7.57731871889659
english	nationality	7	4.00207440856844e-05	-10.1261126361358
entrepreneurial	human	15	1.66753100357018e-06	-13.3041664664838
european	nationality	8	1.08389515232062e-05	-11.4323642895822
everyday	temporal	8	2.66804960571229e-05	-10.531577744244
exciting	value	8	2.66804960571229e-05	-10.531577744244
fast	speed	4	5.08596956088906e-05	-9.88643978287042
favorite	value	8	0.000115059639246343	-9.07005996188653
frozen	physical	6	2.50129650535528e-06	-12.8987013583756
gold	material	4	7.50388951606583e-06	-11.8000890697075
green	color	5	5.08596956088906e-05	-9.88643978287042
hispanic	nationality	8	5.83635851249564e-06	-12.0514034979884
historical	temporal	10	7.50388951606583e-06	-11.8000890697075
individual	X	10	4.83583991035353e-05	-9.93687063649732
internal	location	8	1.08389515232062e-05	-11.4323642895822
international	nationality	13	1.25064825267764e-05	-11.2892634459415
japanese	nationality	8	1.66753100357018e-05	-11.0015813734897
junior	age	6	4.08545095874695e-05	-10.1054933489331
lacy	physical	4	1.66753100357018e-06	-13.3041664664838
large	dimension	5	0.000100051860214211	-9.20982190426169
last	X	4	0.000501926832074625	-7.59705620173491
lavish	value	6	1.66753100357018e-06	-13.3041664664838
long	dimension	4	0.000454402198472875	-7.69652785238049
mini	dimension	4	1.91766065410571e-05	-10.8618194311146
mixed	X	5	2.41791995517677e-05	-10.6300178170573
narrow	dimension	6	5.83635851249564e-06	-12.0514034979884
national	nationality	8	6.58674746410223e-05	-9.62786579457671
new	age	3	0.000462739853490726	-7.6783455332973
old	age	3	0.000437726888437173	-7.73391538445211
old-time	age	8	8.33765501785092e-07	-13.9973136470437
open	dimension	4	5.4194757616031e-05	-9.8229263771481
overhead	location	8	1.66753100357018e-06	-13.3041664664838
plain	value	5	1.08389515232062e-05	-11.4323642895822
playful	human	7	1.66753100357018e-06	-13.3041664664838
pleasant	value	8	1.00051860214211e-05	-11.5124069972557
potential	X	9	9.17142051963601e-06	-11.5994183742454
prestigious	value	11	8.33765501785092e-07	-13.9973136470437
professional	human	12	3.25168545696186e-05	-10.3337520009141
purple	color	6	1.16727170249913e-05	-11.3582563174285
red	color	3	4.00207440856844e-05	-10.1261126361358
sad	human	3	5.58622886196012e-05	-9.79262102765277
selfish	human	7	5.00259301071055e-06	-12.2055541778157
senior	age	6	1.50077790321317e-05	-11.1069418891476
slow	speed	4	3.08493235660484e-05	-10.3863957343995
smooth	physical	6	6.67012401428074e-06	-11.9178721053639
solid	physical	5	1.41740135303466e-05	-11.1641003029875
speedy	speed	6	4.16882750892546e-06	-12.3878757346096
spicy	physical	5	8.33765501785092e-07	-13.9973136470437
strange	value	7	5.75298196231713e-05	-9.76320714244648
strict	human	6	1.58415445339167e-05	-11.0528746678773
sweet	physical	5	1.66753100357018e-05	-11.0015813734897
thick	dimension	5	1.33402480285615e-05	-11.224724924804
thin	dimension	4	6.67012401428074e-06	-11.9178721053639
token	X	5	6.67012401428074e-06	-11.9178721053639
unique	X	6	8.33765501785092e-06	-11.6947285540497
vietnamese	nationality	10	6.67012401428074e-06	-11.9178721053639
white	color	5	6.50337091392372e-05	-9.64060482035414
wooden	material	6	4.16882750892546e-06	-12.3878757346096
yellow	color	6	1.50077790321317e-05	-11.1069418891476
young	age	5	0.000147576493815961	-8.82116391446991
square	shape	6	0.00529335370267208	-5.24130326372681
