index,x,s_ending,ignore
1,bermuda,0,X
7,reading,0,X
8,people,0,X
40,pudding,0,X
44,children,0,X
77,cast,0,X
90,cell,0,X
91,railroad,0,X
93,data,0,X
112,distaste,0,X
116,lhasa,0,X
138,masking,0,X
146,salvia,0,X
154,new,0,X
197,interest,0,X
198,population,0,X
231,p,0,X
239,oomph,0,X
258,compression,0,X
259,sentencing,0,X
262,cleaning,0,X
263,justice,0,X
266,negligence,0,X
287,blow,0,X
294,testing,0,X
2,things,1,
3,occurrences,1,
10,dress,1,
12,cuts,1,
13,schools,1,
15,towns,1,
17,computers,1,
19,companies,1,
21,values,1,
24,payments,1,
25,rules,1,
26,shows,1,
28,stars,1,
29,movies,1,
30,plants,1,
36,news,1,
37,reports,1,
38,paragraphs,1,
45,groups,1,
46,countries,1,
48,plays,1,
51,dots,1,
56,vegetables,1,
59,bargains,1,
60,pieces,1,
61,business,1,
62,influences,1,
72,years,1,
74,flowers,1,
75,sides,1,
76,ones,1,
85,books,1,
88,strips,1,
89,colonies,1,
92,experts,1,
97,scoundrels,1,
102,works,1,
103,peppers,1,
104,cups,1,
108,areas,1,
113,gangs,1,
119,kids,1,
121,houses,1,
123,fitness,1,
124,tires,1,
127,grass,1,
134,views,1,
135,trips,1,
136,sites,1,
139,shreds,1,
141,conditions,1,
143,spots,1,
144,leaves,1,
147,process,1,
150,levels,1,
151,rolls,1,
152,details,1,
156,amenities,1,
163,economics,1,
165,class,1,
167,images,1,
168,arts,1,
171,containers,1,
179,acts,1,
180,christmas,1,
181,days,1,
185,restaurants,1,
189,gloss,1,
190,needs,1,
192,places,1,
193,decorations,1,
196,taxpayers,1,
201,cocoons,1,
202,cities,1,
204,laws,1,
206,businesses,1,
208,bass,1,
210,patches,1,
212,golfers,1,
216,sports,1,
225,articles,1,
226,effects,1,
228,batteries,1,
229,items,1,
236,words,1,
238,pockets,1,
243,players,1,
244,kansas,1,
247,cactus,1,
249,sweaters,1,
250,disabilities,1,
251,leaders,1,
254,ideas,1,
256,jurors,1,
257,results,1,
265,earnings,1,
268,pads,1,
272,chaos,1,
275,situations,1,
278,cars,1,
279,trucks,1,
280,jobs,1,
288,teams,1,
289,holes,1,
4,time,0,
5,form,0,
6,thing,0,
9,hair,0,
11,conversation,0,
14,offender,0,
16,school,0,
18,benefit,0,
20,rate,0,
22,club,0,
23,type,0,
27,burden,0,
31,solution,0,
32,policy,0,
33,service,0,
34,topic,0,
35,coverage,0,
39,term,0,
41,recipe,0,
42,one,0,
43,area,0,
47,tax,0,
49,city,0,
50,farm,0,
52,mouth,0,
53,list,0,
54,phrase,0,
55,sauce,0,
57,background,0,
58,stuff,0,
63,color,0,
64,music,0,
65,way,0,
66,place,0,
67,slant,0,
68,computer,0,
69,word,0,
70,typewriter,0,
71,code,0,
73,conscience,0,
78,being,0,
79,shot,0,
80,style,0,
81,report,0,
82,problem,0,
83,leadership,0,
84,sound,0,
86,paper,0,
87,town,0,
94,goal,0,
95,letter,0,
96,perspective,0,
98,system,0,
99,guy,0,
100,world,0,
101,power,0,
105,food,0,
106,feeling,0,
107,sense,0,
109,shell,0,
110,enemy,0,
111,meat,0,
114,pet,0,
115,death,0,
117,coke,0,
118,can,0,
120,tollway,0,
122,house,0,
125,puppy,0,
126,corporation,0,
128,suit,0,
129,reinforcement,0,
130,parent,0,
131,lifestyle,0,
132,change,0,
133,source,0,
137,lab,0,
140,dog,0,
142,trial,0,
145,driveway,0,
148,autobiography,0,
149,situation,0,
153,actor,0,
155,film,0,
157,child,0,
158,grandfather,0,
159,grandchild,0,
160,family,0,
161,fish,0,
162,pan,0,
164,sand,0,
166,behavior,0,
169,joke,0,
170,bin,0,
172,value,0,
173,hand,0,
174,baby,0,
175,casserole,0,
176,rib,0,
177,vacation,0,
178,field,0,
182,opinion,0,
183,boat,0,
184,plate,0,
186,room,0,
187,factor,0,
188,book,0,
191,satire,0,
194,spaghetti,0,
195,radio,0,
199,college,0,
200,day,0,
203,labrador,0,
205,nation,0,
207,boy,0,
209,snake,0,
211,bearing,0,
213,banking,0,
214,income,0,
215,wood,0,
217,wind,0,
218,luck,0,
219,look,0,
220,lettering,0,
221,ride,0,
222,region,0,
223,party,0,
224,story,0,
227,shrimp,0,
230,garbage,0,
232,mall,0,
233,brush,0,
234,student,0,
235,truth,0,
237,trunk,0,
240,level,0,
241,ski,0,
242,weather,0,
245,strip,0,
246,car,0,
248,decision,0,
252,voice,0,
253,crime,0,
255,point,0,
260,number,0,
261,life,0,
264,luxury,0,
267,resort,0,
269,environment,0,
270,reason,0,
271,line,0,
273,trash,0,
274,money,0,
276,teller,0,
277,engine,0,
281,valley,0,
282,bag,0,
283,vitamin,0,
284,dough,0,
285,country,0,
286,plan,0,
290,libertarian,0,
291,citizen,0,
292,research,0,
293,issue,0,
295,spirit,0,
