Adjective	Class
old	age
new	age
junior	age
young	age
senior	age
old-time	age
blue	color
white	color
red	color
blonde	color
black	color
purple	color
green	color
yellow	color
full	dimension
lengthy	dimension
short	dimension
little	dimension
big	dimension
long	dimension
fat	dimension
high	dimension
skinny	dimension
tall	dimension
small	dimension
large	dimension
tiny	dimension
wide	dimension
mini	dimension
flat	dimension
open	dimension
narrow	dimension
humongous	dimension
biggest	dimension
huge	dimension
thick	dimension
low	dimension
deep	dimension
tiniest	dimension
slight	dimension
thin	dimension
creative	human
elitist	human
strict	human
hopeless	human
crazy	human
social	human
experienced	human
selfish	human
happiest	human
professional	human
funny	human
intellectual	human
entrepreneurial	human
mad	human
civilized	human
sad	human
playful	human
cheerful	human
overhead	location
internal	location
closest	location
corduroy	material
wooden	material
gold	material
crocheted	material
brazilian	nationality
foreign	nationality
texan	nationality
american	nationality
hispanic	nationality
argentine	nationality
chinese	nationality
victorian	nationality
english	nationality
french	nationality
mexican	nationality
italian	nationality
vietnamese	nationality
international	nationality
national	nationality
japanese	nationality
european	nationality
native	nationality
latin	nationality
hard	physical
clean	physical
sweet	physical
creamy	physical
knobby	physical
salty	physical
wet	physical
spiky	physical
shiny	physical
raspy	physical
sunny	physical
smooth	physical
sour	physical
blunt	physical
solid	physical
spicy	physical
frozen	physical
lacy	physical
dried	physical
dirty	physical
humid	physical
curly	physical
dusty	physical
quiet	physical
circular	shape
fast	speed
speedy	speed
slow	speed
everyday	temporal
historical	temporal
current	temporal
daily	temporal
favorite	value
good	value
fun	value
prime	value
inappropriate	value
popular	value
prestigious	value
lavish	value
ugly	value
ideal	value
detailed	value
bad	value
simple	value
negative	value
great	value
practical	value
special	value
normal	value
elaborate	value
fancy	value
genuine	value
exciting	value
important	value
pleasant	value
positive	value
safe	value
excellent	value
wonderful	value
reasonable	value
quaint	value
fantastic	value
easy	value
incredible	value
cute	value
effortless	value
convenient	value
strange	value
lovely	value
sophisticated	value
silly	value
beautiful	value
acceptable	value
best	value
plain	value
gorgeous	value
gross	value
ludicrous	value
interesting	value
useful	value
specific	X
spare	X
same	X
different	X
simplified	X
mixed	X
individual	X
designated	X
additional	X
middle	X
immediate	X
whole	X
unique	X
front	X
potential	X
obvious	X
last	X
oddball	X
random	X
similar	X
original	X
standardized	X
actual	X
previous	X
present	X
second	X
prevailing	X
extra	X
token	X
complete	X
