Class,DistanceFromNoun,YMin,YMax
size,1.71708707671044,1.70775310988252,1.72624395300622
quality,1.6976253298153,1.68153034300792,1.71372031662269
age,1.58439571647119,1.57687085670576,1.59230144059154
texture,1.48720930232558,1.46162790697674,1.51220930232558
shape,1.24311926605505,1.18348623853211,1.30733944954128
color,1.13455414012739,1.12519406847134,1.14471039012739
material,1.06086221470837,1.04733727810651,1.07525359256128
