date,workerid,amount
Fri Dec 18 07:34:03 PST 2015,AEK67RC8DN148,0.3
Fri Dec 18 07:50:58 PST 2015,A32W24TWSWXW,0.3
Fri Dec 18 12:22:26 PST 2015,A2FSQBC1OU8WN8,0.3
Fri Dec 18 16:30:36 PST 2015,AJ7E3GO6FZC1U,0.3
Fri Dec 18 19:13:24 PST 2015,A2HLSXHZ66ZJN0,0.3
Fri Dec 18 21:28:18 PST 2015,A38DAH5RS19EX4,0.3
Fri Dec 18 21:28:31 PST 2015,AQL2N2W222GBS,0.3
Fri Dec 18 22:10:37 PST 2015,AW0IWJHAE6IES,0.3
Fri Dec 18 22:15:38 PST 2015,A16Q5SHETG2L0G,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
