date,workerid,amount
Fri Dec 18 14:48:04 PST 2015,A1X84CLJ7N1PLZ,0.3
Fri Dec 18 14:49:16 PST 2015,AJOKMC6DWZ6IH,0.3
Fri Dec 18 15:24:24 PST 2015,A11M4YPN0UUUCF,0.3
Fri Dec 18 18:47:57 PST 2015,A3CPPBPJ602FG1,0.3
Fri Dec 18 21:29:19 PST 2015,A23GOZ33HMA3P1,0.3
Fri Dec 18 22:19:14 PST 2015,A1FGKIKJYSL1MI,0.3
Fri Dec 18 22:31:45 PST 2015,AXS482AF5WNOL,0.3
Fri Dec 18 22:42:33 PST 2015,A3LDYIPSXOXME6,0.3
Fri Dec 18 22:51:06 PST 2015,A3FD2M5EA0KSG1,0.3
,total paid to workers:,=SUM(c2:c10)
,10% paid to Amazon:,=.1*c11
,total:,=SUM(c11:c12
